Food,LUC,Agriculture_production,Supply_chain,total,Land_use(m2),Freshwater_withdrawals(L),Eutrophying_emissions(g PO43-eq),LUC_text,Agriculture_production_text
Milk,-0.495,-1.694,0.592,2.781,2.1,197,10.7,0.495,1.694
Coffee,-3.688,-10.386,2.403,16.477,11.9,33,49.9,3.688,10.386
