Entity-Plant,LUC-Plant,Feed-Plant,Farm-Plant,Processing-Plant,Transport-Plant,Packging-Plant,Retail-Plant,total-Plant,Entity-Meat,LUC-Meat,Feed-Meat,Farm-Meat,Processing-Meat,Transport-Meat,Packging-Meat,Retail-Meat,total-Meat,Entity,LUC,Feed,Farm,Processing,Transport,Packging,Retail,total,Category
Olive Oil,-0.4,0,4.3,0.7,0.5,0.9,0,6,,,,,,,,,,Rapeseed Oil,0.2,0,2.3,0.2,0.2,0.8,0,3.7,Plant based
Soybean Oil,3.1,0,1.5,0.3,0.3,0.8,0,6,,,,,,,,,,Rice,0,0,3.6,0.1,0.1,0.1,0.1,4,Plant based
Palm Oil,3.1,0,2.1,1.3,0.2,0.9,0,7.6,,,,,,,,,,Eggs,0.7,2.2,1.3,0,0.1,0.2,0,4.5,Meat&Dairy based
Stimulants & Spices Misc.,6,0,4.9,0.3,0.1,0.7,0,12,,,,,,,,,,Fish (farmed),0.5,0.8,3.6,0,0.1,0.1,0,5.1,Meat&Dairy based
Coffee,3.7,0,10.4,0.6,0.1,1.6,0.1,16.5,,,,,,,,,,Oils Misc.,2,0,2,0.5,0.3,0.9,0,5.7,Plant based
Dark Chocolate,14.3,0,3.7,0.2,0.1,0.4,0,18.7,,,,,,,,,,Olive Oil,-0.4,0,4.3,0.7,0.5,0.9,0,6,Plant based
,,,,,,,,,,,,,,,,,,Soybean Oil,3.1,0,1.5,0.3,0.3,0.8,0,6,Plant based
,,,,,,,,,,,,,,,,,,Poultry Meat,2.5,1.8,0.7,0.4,0.3,0.2,0.2,6.1,Meat&Dairy based
,,,,,,,,,,,,,,,,,,Animal Fats,2,2.4,1.2,0.4,0.3,0.3,0.2,6.8,Meat&Dairy based
,,,,,,,,,,,,,,,,,,Pig Meat,1.5,2.9,1.7,0.3,0.3,0.3,0.2,7.2,Meat&Dairy based
,,,,,,,,,,,,,,,,,,Palm Oil,3.1,0,2.1,1.3,0.2,0.9,0,7.6,Plant based
,,,,,,,,,,,,,,,,,,Crustaceans (farmed),0.2,2.5,8.4,0,0.2,0.3,0.2,11.8,Meat&Dairy based
,,,,,,,,,,,,,,,,,,Stimulants & Spices Misc.,6,0,4.9,0.3,0.1,0.7,0,12,Plant based
,,,,,,,,,,,,,,,,,,Coffee,3.7,0,10.4,0.6,0.1,1.6,0.1,16.5,Plant based
,,,,,,,,,,,,,,,,,,Dark Chocolate,14.3,0,3.7,0.2,0.1,0.4,0,18.7,Plant based
,,,,,,,,,,,,,,,,,,Bovine Meat (dairy herd),0.9,2.5,15.7,1.1,0.4,0.3,0.2,21.1,Meat&Dairy based
,,,,,,,,,,,,,,,,,,Cheese,4.5,2.3,13.1,0.7,0.1,0.2,0.3,21.2,Meat&Dairy based
,,,,,,,,,,,,,,,,,,Lamb & Mutton,0.5,2.4,19.5,1.1,0.5,0.3,0.2,24.5,Meat&Dairy based
,,,,,,,,,,,,,,,,,,Buffalo,9.6,2.2,29,1.2,0.4,0.3,0.2,42.9,Meat&Dairy based
,,,,,,,,,,,,,,,,,,Bovine Meat (beef herd),16.3,1.9,39.4,1.3,0.3,0.2,0.2,59.6,Meat&Dairy based
