country,Code,Year,cereals,roots_tubers,vegetables,fruits,milk_equivalents,red_meat,poultry,eggs,seafood,legumes,nuts,oils,sugar
China,CHN,2017,535.8082192,182.4657534,1033.342466,268.3013699,65.89041096,127.2876712,35.28767123,62.24657534,104.5753425,3.753424658,8.054794521,26.30136986,19.80821918
Colombia,COL,2017,349.2876712,216.7945205,133.5068493,488.1369863,333.7260274,65.15068493,87.64383562,35.04109589,19.61643836,15.09589041,4.082191781,44.24657534,94.1369863
Congo,COG,2017,210.0273973,780.3561644,85.67123288,134.3287671,3.232876712,25.42465753,58.98630137,1.534246575,80.38356164,8.082191781,0.054794521,22.90410959,46.16438356
Costa Rica,CRI,2017,328.9315068,59.53424658,113.3150685,361.5616438,472.9589041,74.05479452,72.65753425,28.79452055,50.57534247,31.7260274,1.506849315,60.35616438,131.3424658
Cote d'Ivoire,CIV,2017,405.4520548,824.739726,99.42465753,172.4657534,4.547945205,9.643835616,6.931506849,5.616438356,49.23287671,6.109589041,19.26027397,31.09589041,24.30136986
Croatia,HRV,2017,322.3013699,100.9315068,698.9589041,190.3561644,663.4246575,173.7260274,29.50684932,22.08219178,51.34246575,2.082191781,4.246575342,34.08219178,98.68493151
Cuba,CUB,2017,459.6164384,238.6027397,387.5616438,418.1369863,259.0410959,72.16438356,64.98630137,24.35616438,15.5890411,52.46575342,0.02739726,26.54794521,144.9315068
Cyprus,CYP,2017,265.0958904,66.43835616,277.260274,232.5753425,310.4931507,127.369863,68.71232877,21.56164384,68.32876712,7.917808219,6.684931507,45.83561644,52.19178082
Czechia,CZE,2017,271.1780822,161.890411,215.6986301,161.7534247,523.0958904,154.739726,60.16438356,23.64383562,25.50684932,5.424657534,2.273972603,89.53424658,98.1369863
Denmark,DNK,2017,354.4109589,164.0273973,276.4109589,163.9452055,841.1780822,110.9315068,79.39726027,43.26027397,62.19178082,1.945205479,6,70.2739726,116.109589
Djibouti,DJI,2017,479.260274,44.05479452,230.8493151,77.39726027,68.76712329,31.80821918,7.342465753,3.01369863,10.10958904,37.17808219,0.95890411,39.56164384,90.84931507
Dominica,DMA,2017,184.3013699,371.0410959,251.260274,1045.917808,239.5890411,53.97260274,96.4109589,6.739726027,76.87671233,12.21917808,0.191780822,22.30136986,108.7945205
Dominican Republic,DOM,2017,299.2876712,87.31506849,118.3835616,797.2876712,264.5753425,54.71232877,96.60273973,27.8630137,26.19178082,25.42465753,0.465753425,60.82191781,86.65753425
EAT-Lancet,,2017,232,50,300,200,250,14,29,13,28,75,50,52,31
Ecuador,ECU,2017,460.5753425,70.10958904,77.15068493,248.2739726,295.6986301,70.82191781,52.90410959,21.31506849,21.28767123,4.849315068,0.493150685,46.49315068,50.93150685
Egypt,EGY,2017,718.1643836,110.2739726,436.5205479,284.2465753,112.9315068,33.09589041,35.50684932,9.452054795,64.90410959,12.54794521,1.095890411,19.39726027,69.97260274
El Salvador,SLV,2017,372.3013699,71.31506849,230.8219178,188.9589041,277.4246575,27.64383562,55.97260274,23.91780822,18.19178082,46.54794521,0.493150685,18.02739726,103.8082192
Estonia,EST,2017,359.2876712,183.3424658,280.4109589,198.3835616,979.260274,115.7808219,58.24657534,34.76712329,40.32876712,8.328767123,5.01369863,45.42465753,46.98630137
Eswatini,SWZ,2017,431.260274,155.1780822,74.98630137,249.5616438,114.6575342,57.20547945,17.69863014,4.602739726,10.63013699,10.43835616,2.602739726,12.49315068,58.4109589
Ethiopia,ETH,2017,437.6986301,223.8630137,36.57534247,23.34246575,84.54794521,11.45205479,0.356164384,1.178082192,1.205479452,59.8630137,1.589041096,9.863013699,22.76712329
Fiji,FJI,2017,406.1643836,314.7123288,157.1780822,86.63013699,69.75342466,43.04109589,76.76712329,10.73972603,95.42465753,31.01369863,0.630136986,46.46575342,60.90410959
Finland,FIN,2017,312.7945205,166.5205479,230.630137,191.7534247,1253.972603,155.9452055,51.39726027,23.94520548,92.10958904,3.205479452,2.767123288,46.08219178,78.76712329
France,FRA,2017,361.6438356,139.3972603,264.8219178,252.1917808,712.630137,161.0136986,62.73972603,31.5890411,94.16438356,5.123287671,10.82191781,85.7260274,106.2465753
