country,Code,Year,cereals,roots_tubers,vegetables,fruits,milk_equivalents,red_meat,poultry,eggs,seafood,legumes,nuts,oils,sugar
Switzerland,CHE,2017,304.7671233,109.7534247,252.0821918,234.5753425,851.1506849,138.3013699,43.06849315,27.39726027,46.4109589,5.068493151,12.10958904,78.65753425,117.9452055
Taiwan,TWN,2017,353.7260274,30.05479452,322.6027397,294.4109589,81.75342466,121.5068493,90.87671233,38.24657534,81.34246575,7.287671233,14.68493151,69.64383562,75.26027397
Tajikistan,TJK,2017,396.3287671,86.79452055,572.1369863,112.2465753,155.260274,32.93150685,12.19178082,6.684931507,1.01369863,7.369863014,1.726027397,25.01369863,44.38356164
Tanzania,TZA,2017,333.890411,445.5068493,126.3287671,217.8356164,107.4246575,18.84931507,5.150684932,0.95890411,18.63013699,69.56164384,1.342465753,30.49315068,31.34246575
Thailand,THA,2017,533.5616438,57.39726027,109.2876712,253.1232877,40.35616438,39.53424658,35.47945205,33.8630137,79.91780822,7.123287671,2.849315068,26.49315068,117.9178082
Timor,TLS,2017,563.0136986,117.6438356,68.1369863,44.95890411,2.794520548,30.63013699,11.61643836,2.191780822,21.8630137,19.45205479,0.02739726,16.54794521,23.97260274
Togo,TGO,2017,385.6712329,489.3424658,52.76712329,22.19178082,17.67123288,12.93150685,19.34246575,2.602739726,32.1369863,42.98630137,0,35.09589041,31.97260274
Trinidad and Tobago,TTO,2017,367.1232877,98.57534247,98.87671233,139.4794521,80.73972603,37.09589041,149.4246575,11.34246575,65.34246575,25.06849315,2.602739726,43.09589041,149.369863
Tunisia,TUN,2017,570.630137,83.91780822,746.7945205,257.1232877,306.6849315,30.21917808,46.65753425,21.34246575,36.05479452,20.4109589,16.52054795,69.28767123,94.49315068
Turkey,TUR,2017,499.5890411,128.3835616,696.1917808,351.5890411,481.7808219,49.8630137,56.54794521,20.35616438,13.28767123,35.09589041,24,59.8630137,83.64383562
Turkmenistan,TKM,2017,557.9178082,86.68493151,392.0273973,156.1917808,398.0273973,152.5753425,12.38356164,19.36986301,8.054794521,3.890410959,1.068493151,34.02739726,19.53424658
Uganda,UGA,2017,199.5342466,365.5068493,78.95890411,334.4657534,102.7671233,22.38356164,4.164383562,2.410958904,30.87671233,70.79452055,0,23.04109589,30.73972603
Ukraine,UKR,2017,438.7945205,359.6164384,442.3013699,137.890411,400.4931507,65.20547945,61.97260274,39.53424658,31.97260274,5.150684932,3.780821918,38.54794521,106.6575342
United Arab Emirates,ARE,2017,443.9178082,30.73972603,284.4383562,281.8356164,91.04109589,43.26027397,119.0958904,20.49315068,67.69863014,72.60273973,20.08219178,33.8630137,100.7123288
United Kingdom,GBR,2017,324.0547945,253.3150685,227.1506849,245.4794521,612.739726,128.1369863,87.50684932,30.76712329,54.05479452,10.08219178,4.465753425,50.16438356,96.32876712
United States,USA,2017,298.7671233,154.0821918,310.7123288,246.5753425,698.2739726,185.2328767,152.5479452,42.65753425,61.26027397,10.2739726,9.616438356,62.79452055,90.30136986
Uruguay,URY,2017,427.9178082,127.0684932,164.1917808,224.3561644,517.2328767,130.5753425,24.98630137,32.4109589,25.28767123,8.082191781,0.547945205,51.91780822,112.9589041
Uzbekistan,UZB,2017,533.4520548,146.2739726,751.0958904,264.0273973,597.1780822,88.57534247,5.369863014,18.05479452,6.164383562,0.109589041,3.287671233,37.78082192,28.02739726
Vanuatu,VUT,2017,230.3835616,457.4246575,140.7945205,208.8219178,45.61643836,66.43835616,31.94520548,6.739726027,77.80821918,0.02739726,0.136986301,16.05479452,31.67123288
Venezuela,VEN,2017,378.2465753,75.04109589,121.369863,223.7534247,274.8493151,56.49315068,55.56164384,9.917808219,27.67123288,9.780821918,0.02739726,41.36986301,91.42465753
Vietnam,VNM,2017,659.6712329,41.42465753,467.2054795,230.7671233,23.7260274,139.2328767,33.78082192,12.02739726,103.1780822,7.945205479,12,15.01369863,28.52054795
Yemen,YEM,2017,450.9315068,17.89041096,53.26027397,85.09589041,31.34246575,22.54794521,23.36986301,4.273972603,8.684931507,14.32876712,0.02739726,18.65753425,79.83561644
Zambia,ZMB,2017,413.4246575,155.369863,67.5890411,19.8630137,34.2739726,20.05479452,9.369863014,6.630136986,33.01369863,3.424657534,0.02739726,14.60273973,27.50684932
Zimbabwe,ZWE,2017,418.9589041,55.31506849,42.98630137,40.73972603,82.05479452,28.49315068,12.82191781,4.95890411,10.21917808,7.890410959,0.95890411,33.06849315,58.32876712
